,title,description
159,Public Passenger Vehicle Licenses - Taxis Only,"A public passenger vehicle is a vehicle used for the transportation of passengers for hire by a public chauffeur. This filtered view contains only licensed taxicabs.  The dataset of public passenger vehicles on which this view is based includes licensed taxicabs (medallions), liveries, ambulances, medicars, charter-sightseeing buses, horse-drawn carriages, and pedicabs. For more information, please see http://www.cityofchicago.org/city/en/depts/bacp/supp_info/bacppublicvehicles.html."
160,Building Permits,All building permits issued or in progress within the city of Seattle.
161,Open Space (Parks),"Description:  Planimetric basemap polygon layer containing open space features, such as courts, tracks, etc. including Parks. Please see the following link for additional documentation- https://github.com/CityOfNewYork/nyc-planimetrics/blob/master/Capture_Rules.md."
162,Boundaries - Enterprise Zones,"The Illinois Enterprise Zone Program is designed to stimulate economic growth and neighborhood revitalization in economically depressed areas of the state. For more information about this program, go to http://www.commerce.state.il.us/dceo/Bureaus/Business_Development/Tax+Assistance/Enterprise-Zone.htm.  The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ)."
163,Precincts (current),"Ward precincts, which function as local election districts to determine the polling places for voters, based on their addresses.  Precincts are based on U.S. Census Bureau blocks.  These precincts were first used for the 2012 elections and first used for Chicago municipal elections in 2015."
164,Fremont Bridge Bicycle Counter,"The Fremont Bridge Bicycle Counter began operation in October 2012 and records the number of bikes that cross the bridge using the pedestrian/bicycle pathways. Inductive loops on the east and west pathways count the passing of bicycles regardless of travel direction. The data consists of a date/time field: Date, east pathway count field: Fremont Bridge NB,  and west pathway count field: Fremont Bridge SB. The count fields represent the total bicycles detected during the specified one hour period. Direction of travel is not specified, but in general most traffic in the Fremont Bridge NB field is travelling northbound and most traffic in the Fremont Bridge SB field is travelling southbound."
165,NYC Planimetrics,A comprehensive database (file geodatase format) of the NYC Planimetric features. The individual data sets are also available on the open data portal. Please see the following link for additional documentation- https://github.com/CityOfNewYork/nyc-planimetrics/blob/master/Capture_Rules.md.
166,Boundaries - Census Tracts - 2010,"Census tract boundaries in Chicago. The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ), is required."
167,2015 Street Tree Census - Tree Data,"Street tree data from the TreesCount! 2015 Street Tree Census, conducted by volunteers and staff organized by NYC Parks & Recreation and partner organizations. Tree data collected includes tree species, diameter and perception of health. Accompanying blockface data is available indicating status of data collection and data release citywide."
168,Civil Service List (Terminated),"A Civil Service List is considered terminated usually four years after the list has been established, unless it is extended at the Commissioner���s discretion. For more information visit DCAS��� ���Work for the City��� webpage at: https://www1.nyc.gov/site/dcas/employment/take-an-exam.page."
169,Construction Demolition Registrants,"Companies listed as of the most recent export date have been issued registrations by the Business Integrity Commission authorizing them to collect, and remove only waste materials resulting from building demolition, construction, alteration or excavation._x000D_
_x000D_
This data is collected on the entities that apply with the commission to operate as Class 2 C&D Registrants _x000D_
_x000D_
Each record represents an entity that is approved to operate in the City of New York by the Commission. _x000D_
_x000D_
The  Application Type field denotes the class of application 'CL2-Exempt'  noting the type of applicant which is a C&D Registrant They are able to pickup only waste resulting from demolition, construction alteration or excavation processes throughout the city._x000D_
_x000D_
The BIC Number field is unique to every company that applies to the Commission."
170,"COVID-19 Daily Rolling Average Case, Death, and Hospitalization Rates","This is the place to look for important information about how to use this dataset, so please expand this box and read on!_x000D_
_x000D_
This is the source data for some of the metrics available at https://www.chicago.gov/city/en/sites/covid-19/home/latest-data.html._x000D_
_x000D_
For all datasets related to COVID-19, see https://data.cityofchicago.org/browse?limitTo=datasets&sortBy=alpha&tags=covid-19._x000D_
_x000D_
This dataset is a companion to the COVID-19 Daily Cases and Deaths dataset (https://data.cityofchicago.org/d/naz8-j4nc). The major difference in this dataset is that the case, death, and hospitalization corresponding rates per 100,000 population are not those for the single date indicated. They are rolling averages for the seven-day period ending on that date. This rolling average is used to account for fluctuations that may occur in the data, such as fewer cases being reported on weekends, and small numbers.  The intent is to give a more representative view of the ongoing COVID-19 experience, less affected by what is essentially noise in the data._x000D_
_x000D_
All rates are per 100,000 population in the indicated group, or Chicago, as a whole, for ���Total��� columns._x000D_
_x000D_
Only Chicago residents are included based on the home address as provided by the medical provider._x000D_
_x000D_
Cases with a positive molecular (PCR) or antigen test are included in this dataset. Cases are counted based on the date the test specimen was collected. Deaths among cases are aggregated by day of death. Hospitalizations are reported by date of first hospital admission. Demographic data are based on what is reported by medical providers or collected by CDPH during follow-up investigation._x000D_
_x000D_
Denominators are from the U.S. Census Bureau American Community Survey 1-year estimate for 2018 and can be seen in the Citywide, 2018 row of the Chicago Population Counts dataset (https://data.cityofchicago.org/d/85cm-7uqa)._x000D_
_x000D_
All data are provisional and subject to change. Information is updated as additional details are received and it is, in fact, very common for recent dates to be incomplete and to be updated as time goes on. At any given time, this dataset reflects cases and deaths currently known to CDPH._x000D_
_x000D_
Numbers in this dataset may differ from other public sources due to definitions of COVID-19-related cases and deaths, sources used, how cases and deaths are associated to a specific date, and similar factors._x000D_
_x000D_
Data Source: Illinois National Electronic Disease Surveillance System, Cook County Medical Examiner���s Office, U.S. Census Bureau American Community Survey"
171,DHS Daily Report,This dataset includes the daily number of families and individuals residing in the Department of Homeless Services (DHS) shelter system and the daily number of families applying to the DHS shelter system.
172,ACRIS - Property Types Codes,ACRIS State mapping for Codes in the ACRIS Real and Personal Property Legals Datasets
173,Street Construction Permits,"DOT issues over 150 different types of sidewalk and roadway construction permits to utilities, contractors, government agencies and homeowners. Permits cover activities such as street openings, sidewalk construction and installing canopies over sidewalks._x000D_
The core permit data, including permittee, type of permit, date issued, location."
174,Traffic Collision Data from 2010 to Present,"This dataset reflects traffic collision incidents in the City of Los Angeles dating back to 2010. This data is transcribed from original traffic reports that are typed on paper and therefore there may be some inaccuracies within the data. Some location fields with missing data are noted as (0��, 0��). Address fields are only provided to the nearest hundred block in order to maintain privacy. This data is as accurate as the data in the database. Please note questions or concerns in the comments."
175,Building Footprints,"These footprint extents are collapsed from an earlier 3D building model provided by Pictometry of 2010, and have been refined from a version of building masses publicly available on the open data portal for over two years.The building masses were manually split with reference to parcel lines, but using vertices from the building mass wherever possible.These split footprints correspond closely to individual structures even where there are common walls; the goal of the splitting process was to divide the building mass wherever there was likely to be a firewall.
An arbitrary identifier was assigned based on a descending sort of building area for 177,023 footprints. The centroid of each footprint was used to join a property identifier from a draft of the San Francisco Enterprise GIS Program's cartographic base, which provides continuous coverage with distinct right-of-way areas as well as selected nearby parcels from adjacent counties. See accompanying document SF_BldgFoot_2017-05_description.pdf for more on methodology and motivation"
176,Water Consumption in the City of New York,A brief history of water consumption in the New York City Water Supply System (Based on New York City Census population)
177,Ordinance Violations,"Note: For questions related to a specific violation or code requirements, please contact the department that issued the violation notice. For questions regarding the hearings process, a hearing date, or a hearing disposition, please contact the Department of Administrative Hearings. Contact information can be found under ""Government"" at the top of https://www.chicago.gov. For questions related to using the dataset, please use the Contact Dataset Owner button below._x000D_
_x000D_
List of ordinance violations filed with the Department of Administrative Hearings. This data set reflects violations brought before the Chicago Department of Administrative Hearings.  It does not reflect violations brought before the Circuit Court of Cook County. Each row of data represents a unique violation. Multiple violations may be associated with a single case. The most recent status of the case is shown in the dataset and is updated daily. Hearing date corresponds to the date of the most recent hearing. Each case often consists of multiple hearings and may encounter continuances due to various circumstances before a final disposition is rendered. The case disposition, date of the disposition, and any applicable fines and administrative costs are listed when the case is fully completed. The latest hearing status or disposition reflects the condition of the property at that time and may not reflect the current condition of the property. When multiple respondents are cited, each respondent is separated by a pipe (""|"") character. Respondents sometimes are added to cases for technical legal reasons so are not necessarily the parties believed to have committed the violations. This dataset currently lists violations issued by the Department of Buildings. Additional ordinance violations will be added over time.  Therefore, it is advisable to use the department-specific filtered view listed under the More Views button for purposes that require only one department's violations."
178,2011 NYC School Survey,"Every year, all parents, all teachers, and students in grades 6 - 12 take the NYC School Survey. The survey ranks among the largest surveys of any kind ever conducted nationally. _x000D_
_x000D_
Survey results provide insight into a school's learning environment and contribute a measure of diversification that goes beyond test scores on the Progress Report. NYC School Survey results contribute 10% - 15% of a school's Progress Report grade (the exact contribution to the Progress Report is dependant on school type). Survey questions assess the community's opinions on academic expectations, communication, engagement, and safety and respect. School leaders can use survey results to better understand their own school's strengths and target areas for improvement. _x000D_
_x000D_
The NYC School Survey helps school leaders understand what key members of the school community say about the learning environment at each school. The information captured by the survey is designed to support a dialogue among all members of the school community about how to make the school a better place to learn. _x000D_
_x000D_
New York City parents, students, and teachers reached new all-time participation highs on the 2011 School Survey. 960,191 surveys were submitted."
179,NYC Address Points,"NYC Address Points_x000D_
_x000D_
Previously posted versions of the data are retained to comply with Local Law 106 of 2015 and can be provided upon request made to Open Data."
180,COVID-19 Hospital Capacity Metrics,"This is the place to look for important information about how to use this dataset, so please expand this box and read on! This is the source data for some of the metrics available at https://www.chicago.gov/city/en/sites/covid-19/home/hospital-capacity.html_x000D_
_x000D_
For all datasets related to COVID-19, see https://data.cityofchicago.org/browse?limitTo=datasets&sortBy=alpha&tags=covid-19._x000D_
_x000D_
All Chicago area (EMS Region XI) hospitals (n=27) are required to report bed and ventilator capacity, availability, and occupancy to the Chicago Department of Public Health (CDPH) daily. A list of reporting hospitals is included below. All data represent hospital status as of 11:59 pm for that calendar day. Counts include Chicago residents and non-residents._x000D_
_x000D_
ICU bed counts include both adult and pediatric ICU beds. Neonatal ICU beds are not included. Capacity refers to all staffed adult and pediatric ICU beds. Availability refers to all available/vacant adult and pediatric ICU beds. Hospitals began reporting COVID-19 confirmed and suspected (PUI) cases in ICU on 03/19/2020. Hospitals began reporting ICU surge capacity as part of total capacity on 5/18/2020._x000D_
_x000D_
Acute non-ICU bed counts include burn unit, emergency department, medical/surgery (ward), other, pediatrics (pediatric ward) and psychiatry beds. Burn beds include those approved by the American Burn Association or self-designated. Capacity refers to all staffed acute non-ICU beds. An additional 500 acute/non-ICU beds were added at McCormick Place on 4/15/2020. These beds are not included in the total capacity count. The McCormick Place Treatment Facility closed on 05/08/2020. Availability refers to all available/vacant acute non-ICU beds. Hospitals began reporting COVID-19 confirmed and suspected (PUI) cases in acute non-ICU beds on 04/03/2020._x000D_
_x000D_
Ventilator counts prior to 04/24/2020 include all full-functioning mechanical ventilators, with BiPAP, anesthesia machines and portable/transport ventilators counted as surge. Beginning 04/24/2020, ventilator counts include all full-functioning mechanical ventilators, BiPAP, anesthesia machines and portable/transport ventilators. Ventilators are counted regardless of ability to staff. Hospitals began reporting COVID-19 confirmed and suspected (PUI) cases on ventilator on 03/19/2020. CDPH has access to additional ventilators from the EAMC (Emergency Asset Management Center) cache. These ventilators are included in the total capacity count._x000D_
_x000D_
All data are provisional and subject to change. Information is updated as additional details are received._x000D_
_x000D_
Chicago (EMS Region XI) hospitals: Advocate Illinois Masonic Medical Center, Advocate Trinity Hospital, AMITA Resurrection Medical Ctr Chicago, AMITA Saint Joseph Hospital Chicago, AMITA Saints Mary & Elizabeth Med Center, Ann & Robert H Lurie Children's Hospital, Comer Children's Hospital, Community First Medical Center, Holy Cross Hospital, Jackson Park Hospital & Medical Center, John H. Stroger Jr. Hospital Cook County, Loretto Hospital, Mercy Hospital and Medical Center, Methodist Hospital of Chicago, Mount Sinai Hospital, Northwestern Memorial Hospital, Norwegian American Hospital, Roseland Community Hospital, Rush University Medical Center, Saint Anthony Hospital, Saint Bernard Hospital, South Shore Hospital, Swedish Hospital, Thorek Memorial Hospital,_x000D_
_x000D_
University of Chicago Medical Center, University of Illinois Hospital & HSS, Weiss Memorial Hospital._x000D_
_x000D_
Chicago (EMS Region XI) specialty hospitals: Provident Hospital/Cook County, RML Specialty Hospital, Chicago Lakeshore Hospital. Shirley Ryan AbilityLab (previously RIC), VA/Jesse Brown, Kindred Chicago ��� North, Hartgrove Hospital, Kindred Chicago ��� Lakeshore, Kindred Chicago ��� Central, Shriners Hospital for Children ��� Chicago, LaRabida Hospital. Data Source: Hospitals reporting to CDPH via EMResource (Juvare)"
181,Crimes - One year prior to present,"This dataset reflects reported incidents of crime (with the exception of murders where data exists for each victim) that have occurred in the City of Chicago over the past year, minus the most recent seven days of data. Data is extracted from the Chicago Police Department's CLEAR (Citizen Law Enforcement Analysis and Reporting) system. In order to protect the privacy of crime victims, addresses are shown at the block level only and specific locations are not identified. Should you have questions about this dataset, you may contact the Research & Development Division of the Chicago Police Department at 312.745.6071 or RandD@chicagopolice.org._x000D_
Disclaimer: These crimes may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the Chicago Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The Chicago Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. _x000D_
_x000D_
The Chicago Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of Chicago or Chicago Police Department web page. The user specifically acknowledges that the Chicago Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user.  The unauthorized use of the words ""Chicago Police Department,"" ""Chicago Police,"" or any colorable imitation of these words or the unauthorized use of the Chicago Police Department logo is unlawful. This web page does not, in any way, authorize such use._x000D_
Data is updated daily Tuesday through Sunday. The dataset contains more than 65,000 records/rows of data and cannot be viewed in full in Microsoft Excel. Therefore, when downloading the file, select CSV from the Export menu. Open the file in an ASCII text editor, such as Wordpad, to view and search. To access a list of Chicago Police Department - Illinois Uniform Crime Reporting (IUCR) codes, go to http://bit.ly/rk5Tpc."
182,NYPD Hate Crimes,Dataset containing confirmed hate crime incidents in NYC
183,BAVN Open Bid Opportunities,A listing of open bid opportunities provided by the City of Los Angeles and available on the Los Angeles Business Assistance Virtual Network (BAVN) at https://www.labavn.org
184,Lending Equity - Residential Lending,"Pursuant to the City of Chicago <a href=""https://chicago.legistar.com/LegislationDetail.aspx?ID=4994405&GUID=F8A03263-48F8-49BF-94B5-13AB94F33B02&Options=Advanced&Search="">Municipal Code</a>, certain banks are required to report and the City of Chicago Comptroller is required to make public information related to lending equity. The datasets in this series and <a href=""https://www.chicago.gov/city/en/depts/fin/supp_info/municipal-depositories-rfp.html"">additional information</a> on the Department of Finance portion of the City Web site, make up that public sharing of the data.

This dataset shows residential loan applications processed by responding banks.

Answers in some columns are coded. Please see the ""Filing Instructions Guide"" section of https://ffiec.cfpb.gov for the translations.

For some Number columns, nonsensical text values (e.g., values apparently answering different questions) or those indicating no answer available, e.g., N/A) have been removed in order to maintain the column type and therefore the ability to do numeric analysis of the responses. For original values, as submitted by each bank, please see PDFs of the responses at the ""additional information"" link above."
185,Sex Offenders,"Description: Pursuant to the Sex Offender and Child Murderer Community Notification Law, 730 ILCS 152/101,et seq., the Chicago Police Department maintains a list of sex offenders residing in the City of Chicago who are required to register under the Sex Offender Registration Act, 730 ILCS 150/2, et seq. To protect the privacy of the individuals, addresses are shown at the block level only and specific locations are not identified. The data are extracted from the CLEAR (Citizen Law Enforcement Analysis and Reporting) system developed by the Department.
Although every effort is made to keep this list accurate and current, the city cannot guarantee the accuracy of this information. Offenders may have moved and failed to notify the Chicago Police Department as required by law. If any information presented in this web site is known to be outdated, please contact the Chicago Police Department at srwbmstr@chicagopolice.org, or mail to Sex Registration Unit, 3510 S Michigan Ave, Chicago, IL 60653.
Disclaimer: This registry is based upon the legislature's decision to facilitate access to publicly available information about persons convicted of specific sexual offenses. The Chicago Police Department has not considered or assessed the specific risk of re-offense with regard to any individual prior to his or her inclusion within this registry, and has made no determination that any individual included within the registry is currently dangerous. Individuals included within this registry are included solely by virtue of their conviction record and Illinois law. The main purpose of providing this data on the internet is to make the information more available and accessible, not to warn about any specific individual. 

Anyone who uses information contained in the Sex Offender Database to commit a criminal act against another person is subject to criminal prosecution.
Data Owner: Chicago Police Department.
Frequency: Data is updated daily.
Related Applications: CLEARMAP (http://j.mp/lLluSa)."
186,Daily COVID-19 Deaths by Age,"Note that because of delayed reporting, counts from recent dates are likely to be preliminary and to increase as the Department of Public Health gets additional reports."
187,Boundaries - Zoning Districts (current),"Zoning district boundaries by type and classification.Chicago is divided into zoning districts that regulate land use activities across the city. Data is based on the Chicago Zoning Ordinance and Land Use Ordinance http://bit.ly/9eqawi. Zoning Types are defined in this ordinance. For additional information about business uses, review the License/Zoning Reference (LZR) Guide http://bit.ly/vvGzne, which is based on the Municipal Code and is intended to assist business owners in determining the proper zoning district and primary business license for specific business types. Related Applications: Zoning Map https://gisapps.cityofchicago.org/zoning/"
188,Projects in Construction Map,"<b>Current report not available pending SCA program On Pause.</b>_x000D_
New school projects (Capacity) and Capital Improvement Projects (CIP) currently under Construction."
189,CTA - Ridership - Daily Boarding Totals,"This dataset shows systemwide boardings for both bus and rail services provided by CTA, dating back to 2001. Daytypes are as follows: W = Weekday, A = Saturday, U = Sunday/Holiday. See attached readme file for information on how these numbers are calculated."
190,Boundaries - Central Business District,"Chicago's central business district boundary.  The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ)."
191,Daily COVID-19 Hospitalizations by Age,"Does not include hospitalizations with unknown date._x000D_
_x000D_
Note that because of delayed reporting, counts from recent dates are likely to be preliminary and to increase as the Department of Public Health gets additional reports."
192,Budget - 2022 Budget Ordinance - Positions and Salaries,"The Annual Appropriation Ordinance is the final City operating budget as approved by the City Council. It reflects the City���s operating budget at the beginning of the fiscal year on January 1, 2022.

This dataset displays the positions and related salaries detailed in the budget as of January 1. It is extracted from the personnel portion of the Appropriation Ordinance. The dataset presents the position titles (without names) and salaries described in the budget, but does not provide a reflection of the current city workforce with full names and salaries.

Disclaimer: the ���Total Budgeted Units��� column displays either A) the number of employees AND vacancies associated with a given position, or B) the number of budgeted units (ie. hours/months) for that position. ���Position Control��� determines whether Total Budgeted Units column will count employees and vacancies or hours/months. If a Position Control is 1, then employees and vacancies are displayed; if a Position Control is 0, then the total number of hours/months recorded is displayed.

For information on the current city workforce, with names, positions and salaries, visit the ""Current Employee Names, Salaries, and Position Titles"" dataset: https://data.cityofchicago.org/d/xzkq-xp2w."
193,Building Code Scofflaw List,"Chicago's Building Code Scofflaw Ordinance (Section 2-92-416 of the Municipal Code of Chicago) prohibits the owners of buildings that are identified as ""priority buildings with serious and chronic code violations"" from being awarded City contracts, receiving financial assistance from the City, or having certain applications accepted or processed by the City. Buildings on the list are also subject to follow-up inspections by the Department of Buildings at least every 12 months, and once removed from the list, continued inspections until the building receives two consecutive inspections, at least six months apart, during which no serious violations are found. Individuals identified on the list are designated as ""building code scofflaws.""

Pursuant to the ordinance, as amended in 2021, lists of buildings are published on September 1 and March 1 of each year and lists of owners associated with those buildings are published one month later. 

The structure of this dataset was modified on 9/1/2021 to be consistent with the amended ordinance."
194,"Public Health Statistics - Births and birth rates in Chicago, by year, 1999���2009 - Historical","Note: This dataset is historical only and there are not corresponding datasets for more recent time periods. For that more-recent information, please visit the Chicago Health Atlas at https://chicagohealthatlas.org.

This dataset contains the annual number of births and crude birth rate (births per 1,000 residents) with corresponding 95% confidence intervals, by Chicago community area, for the years 1999 ��� 2009.  See the full dataset description for more information: https://data.cityofchicago.org/api/assets/8C4E8E51-6162-4DF3-9C29-D3F205FA2FB4"
195,Textile Drop-Off Locations in NYC,"Locations where NYC residents can drop off clothing, fabrics, linens, footwear, and other items for donation or textile recycling. For more information, see: https://www1.nyc.gov/assets/dsny/site/services/donate-goods/textiles. Please note that each organization���s needs and capacity may change rapidly due to the COVID-19 response. Please email, call, or connect on social media for the most up-to-date information before attempting any drop-off/donations."
196,Average Daily Traffic Counts - Map,"Average Daily Traffic (ADT) counts are analogous to a census count of vehicles on city streets. These counts provide a close approximation to the actual number of vehicles passing through a given location on an average weekday. Since it is not possible to count every vehicle on every city street, sample counts are taken along larger streets to get an estimate of traffic on half-mile or one-mile street segments. ADT counts are used by city planners, transportation engineers, real-estate developers, marketers and many others for myriad planning and operational purposes._x000D_
Data Owner: Transportation._x000D_
Time Period: 2006._x000D_
Frequency: A citywide count is taken approximately every 10 years. A limited number of traffic counts will be taken and added to the list periodically._x000D_
Related Applications: Traffic Information Interactive Map (http://webapps.cityofchicago.org/traffic/)."
197,Crimes - 2001 to present - Map,"This dataset reflects reported incidents of crime (with the exception of murders where data exists for each victim) that occurred in the City of Chicago from 2001 to present, minus the most recent seven days. Data is extracted from the Chicago Police Department's CLEAR (Citizen Law Enforcement Analysis and Reporting) system. In order to protect the privacy of crime victims, addresses are shown at the block level only and specific locations are not identified. Should you have questions about this dataset, you may contact the Chicago Police Department at PSITAdministration@ChicagoPolice.org. Disclaimer: These crimes may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the Chicago Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The Chicago Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The Chicago Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of Chicago or Chicago Police Department web page. The user specifically acknowledges that the Chicago Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user.  The unauthorized use of the words ""Chicago Police Department,"" ""Chicago Police,"" or any colorable imitation of these words or the unauthorized use of the Chicago Police Department logo is unlawful. This web page does not, in any way, authorize such use. Data is updated daily Tuesday through Sunday. The dataset contains more than 65,000 records/rows of data and cannot be viewed in full in Microsoft Excel. Therefore, when downloading the file, select CSV from the Export menu. Open the file in an ASCII text editor, such as Wordpad, to view and search. To access a list of Chicago Police Department - Illinois Uniform Crime Reporting (IUCR) codes, go to http://data.cityofchicago.org/Public-Safety/Chicago-Police-Department-Illinois-Uniform-Crime-R/c7ck-438e"
198,Suitability of City-Owned and Leased Property for Urban Agriculture (LL 48 of 2011),This list is accurate as of the date contained in the Date Created field.
199,Pedestrian Streets,Pedestrian Streets (P-Streets) are segments of street created in Chicago intended to preserve and enhance the character of streets and intersections that are widely recognized as Chicago's best examples of pedestrian-oriented shopping districts.
200,ACRIS - Country Codes,ACRIS Countries mapping for Codes in the ACRIS Real and Personal Parties Property Datasets
201,Building and Safety Permit Information Old,"The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel."
202,Violence Reduction - Shotspotter Alerts,"This dataset contains all ShotSpotter alerts since the introduction of ShotSpotter to some Chicago Police Department (CPD) districts in 2017. ShotSpotter is a gunshot detection system designed to automatically determine the location of potential outdoor gunfire. ShotSpotter audio sensors are placed in several CPD districts throughout the city (specific districts are noted below). If at least three sensors detect a sound that the ShotSpotter software determines to be potential gunfire, a location is determined and the alert is sent to human ShotSpotter analysts for review. Either the alert is sent to CPD, or it is dismissed. Each alert can contain multiple rounds of gunfire; sometimes there are multiple alerts for what may be determined to be one incident. More detail on the technology and its accuracy can be found on the company���s website <a href=""https://www.shotspotter.com"">here</a>. It should also be noted that ShotSpotter alerts may increase year-over-year while gun violence did not necessarily increase accordingly because of improvements in detection sensors._x000D_
_x000D_
ShotSpotter does not exist in every CPD district, and it was not rolled out in every district at the same time. ShotSpotter was first deployed in Chicago in 2017, and sensors exist in the following districts as of the May 2021 launch of this dataset: 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 015, and 025."
203,Building Permits,"This data set pertains to all types of structural permits. Data includes details on application/permit numbers, job addresses, supervisorial districts, and the current status of the applications. Data is uploaded weekly by DBI. Users can access permit information online through DBI���s Permit Tracking System which is 24/7 at www.sfdbi.org/dbipts.

Note if you need to open permits in Excel, use one of the pre-filtered datasets:

1. Building Permits on or after January 1, 2013 https://data.sfgov.org/d/p4e4-a5a7
2. Building Permits before January 1, 2013 https://data.sfgov.org/d/4jpb-z4kk"
204,Street Sign Work Orders,"DOT manages approximately 1,000,000 signs on the streets of New York.  This dataset contains current and historical signs, including regulatory, warning, guide and parking."
205,New York City Population By Community Districts,"New York City Population By Community Districts_x000D_
_x000D_
The data was collected from Census Bureaus' Decennial data dissemination (SF1) for the years 1970, 1980, 1990, 2000 and 2010._x000D_
_x000D_
Compiled by the Population Division ��� New York City Department of City Planning"
206,Active Projects Under Construction,"<b>Current report not available pending SCA program On Pause.</b>_x000D_
New school projects (Capacity) and Capital Improvement Projects (CIP) currently under Construction."
207,DSNY Monthly Tonnage Data,"DSNY Monthly Tonnage Data._x000D_
_x000D_
DSNY Monthly Tonnage Data provides monthly collection tonnages that the Department of Sanitation collects from NYC residences and institutions. For more information about DSNY services, see: http://www1.nyc.gov/assets/dsny/site/services. Please note that in May, 2020, DSNY's curbside organics program which was operational in certain districts was suspended due to COVID-19 budget cuts. In October of 2021, DSNY started collecting organics from residents in certain districts who signed up to receive this service. For more information, see: https://www1.nyc.gov/assets/dsny/site/services/food-scraps-and-yard-waste-page/overview-residents-organics."
208,Elevation Benchmarks - Map,"The following dataset includes ""Active Benchmarks,"" which are provided to facilitate the identification of City-managed standard benchmarks. Standard benchmarks are for public and private use in establishing a point in space. Note: The benchmarks are referenced to the Chicago City Datum = 0.00, (CCD = 579.88 feet above mean tide New York). The City of Chicago Department of Water Management���s (DWM) Topographic Benchmark is the source of the benchmark information contained in this online database. The information contained in the index card system was compiled by scanning the original cards, then transcribing some of this information to prepare a table and map. Over time, the DWM will contract services to field verify the data and update the index card system and this online database.This dataset was last updated September 2011. Coordinates are estimated. To view map, go to http://cityofchicago.org/content/dam/city/depts/water/supp_info/Benchmarks/BMMap.pdf. Please read the Terms of Use: http://www.cityofchicago.org/city/en/narr/foia/data_disclaimer.html."
209,ACRIS - Personal Property References,Document Remarks for Personal Property Related Documents Recorded in ACRIS
210,COVID-19 Daily Testing - By Test,"This is the place to look for important information about how to use this dataset, so please expand this box and read on!_x000D_
_x000D_
This is the source data for some of the metrics available at https://www.chicago.gov/city/en/sites/covid-19/home/latest-data.html._x000D_
_x000D_
For all datasets related to COVID-19, see https://data.cityofchicago.org/browse?limitTo=datasets&sortBy=alpha&tags=covid-19._x000D_
_x000D_
This dataset contains counts of unique tests and results for COVID-19. This dataset differs from https://data.cityofchicago.org/d/t4hh-4ku9 in that each person is in that dataset only once, even if tested multiple times. In this dataset, each test is counted, even if multiple tests are performed on the same person, although a person should not appear in this dataset more than once on the same day unless he/she had both a positive and not-positive test._x000D_
_x000D_
The positivity rate displayed in this dataset uses the method most commonly used by other jurisdictions in the United States._x000D_
_x000D_
Only Chicago residents are included based on the home address as provided by the medical provider._x000D_
_x000D_
Molecular (PCR) and antigen tests received through electronic lab reporting are included. Individuals may be tested multiple times. Tests are counted on the day the specimen was collected. A small number of tests collected prior to 3/1/2020 are not included in the table. _x000D_
_x000D_
Not-positive lab results include negative results, invalid results, and tests not performed due to improper collection. Chicago Department of Public Health (CDPH) does not receive all not-positive results._x000D_
_x000D_
All data are provisional and subject to change. Information is updated as additional details are received._x000D_
_x000D_
Data Source: Illinois Department of Public Health Electronic Lab Reports"
211,2013 - 2018 Demographic Snapshot School,Student demographic and enrollment data by school from 2013-14 through 2017-18
